order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,17.0,769.0,109.0,1.0,109.0,Jacket,Peacoat,XL,violet,102.0,42.0,"A violet coloured, XL sized, Peacoat Jacket"
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,18.0,923.0,96.0,3.0,288.0,Trousers,Drawstring,L,yellow,104.0,68.0,"A yellow coloured, L sized, Drawstring Trousers"
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,19.0,12.0,96.0,2.0,192.0,Shirt,Oxford Cloth,M,yellow,114.0,56.0,"A yellow coloured, M sized, Oxford Cloth Shirt"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,20.0,148.0,91.0,2.0,182.0,Shirt,Linen,L,orange,116.0,73.0,"A orange coloured, L sized, Linen Shirt"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,21.0,475.0,118.0,2.0,236.0,Jacket,Puffer,XS,blue,110.0,57.0,"A blue coloured, XS sized, Puffer Jacket"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,22.0,1.0,96.0,3.0,288.0,Shirt,Oxford Cloth,S,red,114.0,53.0,"A red coloured, S sized, Oxford Cloth Shirt"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,23.0,830.0,117.0,3.0,351.0,Jacket,Shearling,XS,indigo,95.0,68.0,"A indigo coloured, XS sized, Shearling Jacket"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,24.0,1209.0,105.0,3.0,315.0,Trousers,Pleated,XL,green,90.0,55.0,"A green coloured, XL sized, Pleated Trousers"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,25.0,635.0,93.0,3.0,279.0,Jacket,Coach,XS,orange,115.0,42.0,"A orange coloured, XS sized, Coach Jacket"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,26.0,639.0,93.0,3.0,279.0,Jacket,Coach,XL,orange,115.0,46.0,"A orange coloured, XL sized, Coach Jacket"
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,27.0,695.0,113.0,1.0,113.0,Jacket,Parka,XS,violet,119.0,59.0,"A violet coloured, XS sized, Parka Jacket"
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,28.0,38.0,104.0,2.0,208.0,Shirt,Dress,L,red,119.0,79.0,"A red coloured, L sized, Dress Shirt"
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,29.0,473.0,118.0,2.0,236.0,Jacket,Puffer,L,green,110.0,43.0,"A green coloured, L sized, Puffer Jacket"
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,30.0,242.0,106.0,1.0,106.0,Shirt,Chambray,M,violet,105.0,72.0,"A violet coloured, M sized, Chambray Shirt"
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,31.0,804.0,91.0,2.0,182.0,Jacket,Pullover,XL,violet,114.0,69.0,"A violet coloured, XL sized, Pullover Jacket"
7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,32.0,850.0,113.0,2.0,226.0,Trousers,Chinos,XS,yellow,100.0,41.0,"A yellow coloured, XS sized, Chinos Trousers"
7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,33.0,1162.0,99.0,3.0,297.0,Trousers,High-Waisted,M,orange,98.0,69.0,"A orange coloured, M sized, High-Waisted Trousers"
8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,34.0,765.0,109.0,1.0,109.0,Jacket,Peacoat,XS,violet,102.0,54.0,"A violet coloured, XS sized, Peacoat Jacket"
8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,35.0,256.0,95.0,2.0,190.0,Shirt,Polo,S,yellow,117.0,77.0,"A yellow coloured, S sized, Polo Shirt"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,36.0,203.0,98.0,1.0,98.0,Shirt,Camp Collared,L,indigo,112.0,72.0,"A indigo coloured, L sized, Camp Collared Shirt"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,37.0,486.0,118.0,2.0,236.0,Jacket,Puffer,S,violet,110.0,46.0,"A violet coloured, S sized, Puffer Jacket"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,38.0,708.0,119.0,1.0,119.0,Jacket,Trench Coat,L,orange,112.0,70.0,"A orange coloured, L sized, Trench Coat Jacket"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,39.0,1040.0,90.0,2.0,180.0,Trousers,Relaxed Leg,XS,indigo,95.0,60.0,"A indigo coloured, XS sized, Relaxed Leg Trousers"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,40.0,917.0,96.0,3.0,288.0,Trousers,Drawstring,M,orange,104.0,76.0,"A orange coloured, M sized, Drawstring Trousers"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,41.0,1061.0,93.0,2.0,186.0,Trousers,Joggers,S,yellow,94.0,76.0,"A yellow coloured, S sized, Joggers Trousers"
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,42.0,35.0,104.0,2.0,208.0,Shirt,Dress,XS,red,119.0,63.0,"A red coloured, XS sized, Dress Shirt"
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,43.0,325.0,109.0,3.0,327.0,Shirt,Mandarin Collar,XS,yellow,108.0,45.0,"A yellow coloured, XS sized, Mandarin Collar Shirt"
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,44.0,860.0,113.0,2.0,226.0,Trousers,Chinos,XS,blue,100.0,69.0,"A blue coloured, XS sized, Chinos Trousers"
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,45.0,426.0,107.0,3.0,321.0,Jacket,Denim,S,orange,92.0,51.0,"A orange coloured, S sized, Denim Jacket"
11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,46.0,877.0,94.0,2.0,188.0,Trousers,Cords,M,red,113.0,68.0,"A red coloured, M sized, Cords Trousers"
11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,47.0,780.0,91.0,3.0,273.0,Jacket,Pullover,XS,yellow,114.0,65.0,"A yellow coloured, XS sized, Pullover Jacket"
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,48.0,782.0,91.0,1.0,91.0,Jacket,Pullover,M,yellow,114.0,49.0,"A yellow coloured, M sized, Pullover Jacket"
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,49.0,632.0,93.0,2.0,186.0,Jacket,Coach,M,red,115.0,76.0,"A red coloured, M sized, Coach Jacket"
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,50.0,846.0,113.0,3.0,339.0,Trousers,Chinos,S,orange,100.0,58.0,"A orange coloured, S sized, Chinos Trousers"
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,51.0,180.0,98.0,1.0,98.0,Shirt,Camp Collared,XS,orange,112.0,52.0,"A orange coloured, XS sized, Camp Collared Shirt"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,52.0,217.0,106.0,2.0,212.0,Shirt,Chambray,M,orange,105.0,43.0,"A orange coloured, M sized, Chambray Shirt"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,53.0,95.0,118.0,3.0,354.0,Shirt,Flannel,XS,indigo,96.0,46.0,"A indigo coloured, XS sized, Flannel Shirt"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,54.0,800.0,91.0,2.0,182.0,Jacket,Pullover,XS,violet,114.0,61.0,"A violet coloured, XS sized, Pullover Jacket"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,55.0,835.0,117.0,1.0,117.0,Jacket,Shearling,XS,violet,95.0,75.0,"A violet coloured, XS sized, Shearling Jacket"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,56.0,1249.0,112.0,2.0,224.0,Trousers,Tracksuit Bottoms,XL,blue,91.0,68.0,"A blue coloured, XL sized, Tracksuit Bottoms Trousers"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,57.0,753.0,109.0,2.0,218.0,Jacket,Peacoat,L,green,102.0,73.0,"A green coloured, L sized, Peacoat Jacket"
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,58.0,114.0,92.0,3.0,276.0,Shirt,Denim,XL,orange,115.0,67.0,"A orange coloured, XL sized, Denim Shirt"
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,59.0,1202.0,105.0,2.0,210.0,Trousers,Pleated,M,yellow,90.0,54.0,"A yellow coloured, M sized, Pleated Trousers"
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,60.0,227.0,106.0,3.0,318.0,Shirt,Chambray,M,green,105.0,56.0,"A green coloured, M sized, Chambray Shirt"
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,61.0,108.0,92.0,2.0,184.0,Shirt,Denim,L,red,115.0,52.0,"A red coloured, L sized, Denim Shirt"
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,62.0,91.0,118.0,3.0,354.0,Shirt,Flannel,S,blue,96.0,43.0,"A blue coloured, S sized, Flannel Shirt"
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,63.0,909.0,94.0,2.0,188.0,Trousers,Cords,XL,violet,113.0,73.0,"A violet coloured, XL sized, Cords Trousers"
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,64.0,699.0,113.0,3.0,339.0,Jacket,Parka,XL,violet,119.0,80.0,"A violet coloured, XL sized, Parka Jacket"
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,65.0,1195.0,105.0,3.0,315.0,Trousers,Pleated,XS,orange,90.0,74.0,"A orange coloured, XS sized, Pleated Trousers"
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,66.0,291.0,105.0,2.0,210.0,Shirt,Cuban Collar,S,yellow,93.0,41.0,"A yellow coloured, S sized, Cuban Collar Shirt"
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,67.0,972.0,97.0,3.0,291.0,Trousers,Slim-Fit,M,indigo,119.0,67.0,"A indigo coloured, M sized, Slim-Fit Trousers"
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,68.0,1212.0,105.0,2.0,210.0,Trousers,Pleated,M,blue,90.0,66.0,"A blue coloured, M sized, Pleated Trousers"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,69.0,7.0,96.0,3.0,288.0,Shirt,Oxford Cloth,M,orange,114.0,77.0,"A orange coloured, M sized, Oxford Cloth Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,70.0,381.0,94.0,3.0,282.0,Shirt,Henley,S,violet,92.0,43.0,"A violet coloured, S sized, Henley Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,71.0,17.0,96.0,2.0,192.0,Shirt,Oxford Cloth,M,green,114.0,60.0,"A green coloured, M sized, Oxford Cloth Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,72.0,297.0,105.0,2.0,210.0,Shirt,Cuban Collar,M,green,93.0,45.0,"A green coloured, M sized, Cuban Collar Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,73.0,28.0,96.0,1.0,96.0,Shirt,Oxford Cloth,L,indigo,114.0,70.0,"A indigo coloured, L sized, Oxford Cloth Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,74.0,934.0,96.0,1.0,96.0,Trousers,Drawstring,XL,blue,104.0,60.0,"A blue coloured, XL sized, Drawstring Trousers"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,75.0,324.0,109.0,3.0,327.0,Shirt,Mandarin Collar,XL,orange,108.0,59.0,"A orange coloured, XL sized, Mandarin Collar Shirt"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,76.0,578.0,100.0,2.0,200.0,Jacket,Bomber,L,green,90.0,78.0,"A green coloured, L sized, Bomber Jacket"
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,77.0,273.0,95.0,1.0,95.0,Shirt,Polo,L,indigo,117.0,60.0,"A indigo coloured, L sized, Polo Shirt"
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,78.0,132.0,92.0,2.0,184.0,Shirt,Denim,M,indigo,115.0,56.0,"A indigo coloured, M sized, Denim Shirt"
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,79.0,791.0,91.0,2.0,182.0,Jacket,Pullover,S,blue,114.0,73.0,"A blue coloured, S sized, Pullover Jacket"
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,80.0,463.0,118.0,1.0,118.0,Jacket,Puffer,L,orange,110.0,66.0,"A orange coloured, L sized, Puffer Jacket"
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,81.0,1066.0,93.0,2.0,186.0,Trousers,Joggers,S,green,94.0,76.0,"A green coloured, S sized, Joggers Trousers"
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,82.0,35.0,104.0,1.0,104.0,Shirt,Dress,XS,red,119.0,63.0,"A red coloured, XS sized, Dress Shirt"
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,83.0,970.0,97.0,3.0,291.0,Trousers,Slim-Fit,XS,indigo,119.0,74.0,"A indigo coloured, XS sized, Slim-Fit Trousers"
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,84.0,285.0,105.0,1.0,105.0,Shirt,Cuban Collar,XS,orange,93.0,62.0,"A orange coloured, XS sized, Cuban Collar Shirt"
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,85.0,1110.0,115.0,3.0,345.0,Trousers,Cropped,XS,indigo,99.0,55.0,"A indigo coloured, XS sized, Cropped Trousers"
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,86.0,452.0,107.0,1.0,107.0,Jacket,Denim,M,violet,92.0,43.0,"A violet coloured, M sized, Denim Jacket"
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,87.0,71.0,118.0,1.0,118.0,Shirt,Flannel,S,red,96.0,59.0,"A red coloured, S sized, Flannel Shirt"
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,88.0,347.0,109.0,2.0,218.0,Shirt,Mandarin Collar,M,violet,108.0,76.0,"A violet coloured, M sized, Mandarin Collar Shirt"
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,89.0,316.0,109.0,2.0,218.0,Shirt,Mandarin Collar,S,red,108.0,48.0,"A red coloured, S sized, Mandarin Collar Shirt"
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,90.0,809.0,117.0,3.0,351.0,Jacket,Shearling,XL,red,95.0,42.0,"A red coloured, XL sized, Shearling Jacket"
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,91.0,682.0,113.0,3.0,339.0,Jacket,Parka,M,green,119.0,71.0,"A green coloured, M sized, Parka Jacket"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,92.0,596.0,112.0,2.0,224.0,Jacket,Cardigan,S,red,118.0,47.0,"A red coloured, S sized, Cardigan Jacket"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,93.0,85.0,118.0,3.0,354.0,Shirt,Flannel,XS,green,96.0,55.0,"A green coloured, XS sized, Flannel Shirt"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,94.0,571.0,100.0,1.0,100.0,Jacket,Bomber,S,yellow,90.0,64.0,"A yellow coloured, S sized, Bomber Jacket"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,95.0,1114.0,115.0,3.0,345.0,Trousers,Cropped,XL,indigo,99.0,58.0,"A indigo coloured, XL sized, Cropped Trousers"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,96.0,514.0,102.0,3.0,306.0,Jacket,Windbreaker,XL,blue,109.0,59.0,"A blue coloured, XL sized, Windbreaker Jacket"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,97.0,681.0,113.0,1.0,113.0,Jacket,Parka,S,green,119.0,62.0,"A green coloured, S sized, Parka Jacket"
20,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,98.0,1114.0,115.0,1.0,115.0,Trousers,Cropped,XL,indigo,99.0,58.0,"A indigo coloured, XL sized, Cropped Trousers"
